20.17, 54.01
25.51, 56.59
30.02, 61.87
35.80, 68.06
40.08, 69.49
50.24, 74.08
60.09, 77.03
65.77, 76.94
69.89, 78.38
79.75, 80.53
89.92, 82.10
99.80, 82.68
112.71, 84.11
120.83, 83.82
129.52, 84.68
158.18, 85.25
202.71, 85.93
203.60, 85.93
303.50, 86.40
400.79, 86.11
506.76, 86.11
602.94, 86.69
705.02, 86.97
803.16, 86.69
907.06, 86.40
1006.74, 86.40
1501.42, 88.12
1770.92, 86.11
2000.00, 86.40
2463.75, 87.55
2855.93, 90.41
3008.77, 89.84
3115.18, 88.98
3397.96, 90.99
3674.35, 90.41
4042.88, 86.11
5023.77, 87.83
5993.74, 84.33
7050.17, 86.11
8031.63, 88.12
8992.08, 87.26
9980.29, 86.40
11468.87, 84.97
12509.97, 83.25
13645.59, 85.83
14755.52, 90.41
15817.70, 91.27
16664.21, 90.41
18176.93, 86.40
19775.92, 87.24
