20.26, 71.58
30.24, 76.82
40.32, 80.51
50.98, 81.13
60.67, 82.05
70.34, 83.29
80.85, 84.21
91.32, 84.83
100.48, 84.83
203.05, 83.29
302.74, 82.05
403.18, 80.82
505.38, 80.82
606.65, 81.75
703.22, 81.75
808.39, 83.60
905.49, 86.06
1013.77, 86.06
1266.96, 70.65
2033.00, 89.76
2238.63, 93.77
2440.11, 90.07
2568.25, 85.14
3024.03, 76.20
3215.19, 78.66
4063.38, 76.20
5045.05, 71.88
5649.70, 73.12
6050.62, 68.18
6719.17, 70.96
7069.08, 63.87
7316.04, 61.71
7643.17, 63.25
8050.29, 62.02
8712.36, 66.34
9092.71, 62.64
10088.98, 61.10
10356.04, 61.40
10895.34, 54.32
11187.08, 56.16
11579.98, 54.93
11785.08, 55.86
12523.38, 55.55
12737.61, 53.39
13676.48, 61.71
15162.34, 55.86
16252.84, 55.55
17104.31, 50.00
