* Measurement data measured by REW V5.31.3
* Source: /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2025 11:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv Format: Comma/Tab/Space delimited data 50 values loaded, 20 Hz to 19,776 Hz 
* Measurement: Automeris.io RS100-4 SPL
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.17 Hz
*
* Freq(Hz), SPL(dB)
52.670000, 74.978
52.920000, 75.065
53.170000, 75.151
53.420000, 75.235
53.670000, 75.318
53.920000, 75.400
54.170000, 75.482
54.420000, 75.561
54.670000, 75.640
54.920000, 75.717
55.170000, 75.794
55.420000, 75.869
55.670000, 75.943
55.920000, 76.015
56.170000, 76.086
56.420000, 76.156
56.670000, 76.225
56.920000, 76.293
57.170000, 76.359
57.420000, 76.423
57.670000, 76.487
57.920000, 76.549
58.170000, 76.610
58.420000, 76.669
58.670000, 76.727
58.920000, 76.784
59.170000, 76.839
59.420000, 76.893
59.670000, 76.945
59.920000, 76.996
60.170000, 77.035
60.420000, 77.048
60.670000, 77.057
60.920000, 77.063
61.170000, 77.065
61.420000, 77.064
61.670000, 77.061
61.920000, 77.056
62.170000, 77.048
62.420000, 77.040
62.670000, 77.029
62.920000, 77.018
63.170000, 77.007
63.420000, 76.995
63.670000, 76.984
63.920000, 76.973
64.170000, 76.962
64.420000, 76.953
64.670000, 76.946
64.920000, 76.940
65.170000, 76.937
65.420000, 76.936
65.670000, 76.938
65.920000, 76.977
66.170000, 77.044
66.420000, 77.116
66.670000, 77.193
66.920000, 77.274
67.170000, 77.359
67.420000, 77.448
67.670000, 77.539
67.920000, 77.633
68.170000, 77.728
68.420000, 77.824
68.670000, 77.920
68.920000, 78.017
69.170000, 78.113
69.420000, 78.207
69.670000, 78.300
69.920000, 78.388
70.170000, 78.451
70.420000, 78.514
70.670000, 78.576
70.920000, 78.638
71.170000, 78.700
71.420000, 78.761
71.670000, 78.821
71.920000, 78.881
72.170000, 78.940
72.420000, 78.999
72.670000, 79.058
72.920000, 79.116
73.170000, 79.174
73.420000, 79.231
73.670000, 79.288
73.920000, 79.344
74.170000, 79.400
74.420000, 79.455
74.670000, 79.510
74.920000, 79.564
75.170000, 79.618
75.420000, 79.672
75.670000, 79.725
75.920000, 79.778
76.170000, 79.830
76.420000, 79.881
76.670000, 79.933
76.920000, 79.984
77.170000, 80.034
77.420000, 80.084
77.670000, 80.134
77.920000, 80.183
78.170000, 80.232
78.420000, 80.280
78.670000, 80.328
78.920000, 80.375
79.170000, 80.422
79.420000, 80.469
79.670000, 80.515
79.920000, 80.562
80.170000, 80.610
80.420000, 80.657
80.670000, 80.703
80.920000, 80.749
81.170000, 80.795
81.420000, 80.840
81.670000, 80.885
81.920000, 80.929
82.170000, 80.973
82.420000, 81.017
82.670000, 81.060
82.920000, 81.103
83.170000, 81.145
83.420000, 81.187
83.670000, 81.228
83.920000, 81.269
84.170000, 81.310
84.420000, 81.350
84.670000, 81.389
84.920000, 81.428
85.170000, 81.466
85.420000, 81.505
85.670000, 81.542
85.920000, 81.579
86.170000, 81.616
86.420000, 81.652
86.670000, 81.687
86.920000, 81.722
87.170000, 81.757
87.420000, 81.791
87.670000, 81.824
87.920000, 81.857
88.170000, 81.889
88.420000, 81.921
88.670000, 81.952
88.920000, 81.983
89.170000, 82.013
89.420000, 82.043
89.670000, 82.072
89.920000, 82.100
90.170000, 82.120
90.420000, 82.139
90.670000, 82.158
90.920000, 82.177
91.170000, 82.194
91.420000, 82.212
91.670000, 82.229
91.920000, 82.245
92.170000, 82.261
92.420000, 82.277
92.670000, 82.292
92.920000, 82.307
93.170000, 82.321
93.420000, 82.336
93.670000, 82.350
93.920000, 82.363
94.170000, 82.377
94.420000, 82.390
94.670000, 82.404
94.920000, 82.417
95.170000, 82.430
95.420000, 82.442
95.670000, 82.455
95.920000, 82.468
96.170000, 82.481
96.420000, 82.494
96.670000, 82.506
96.920000, 82.519
97.170000, 82.532
97.420000, 82.545
97.670000, 82.559
97.920000, 82.572
98.170000, 82.585
98.420000, 82.599
98.670000, 82.613
98.920000, 82.627
99.170000, 82.642
99.420000, 82.657
99.670000, 82.672
99.920000, 82.694
100.170000, 82.723
100.420000, 82.752
100.670000, 82.781
100.920000, 82.810
101.170000, 82.840
101.420000, 82.870
101.670000, 82.899
101.920000, 82.929
102.170000, 82.959
102.420000, 82.989
102.670000, 83.019
102.920000, 83.050
103.170000, 83.080
103.420000, 83.110
103.670000, 83.140
103.920000, 83.171
104.170000, 83.201
104.420000, 83.231
104.670000, 83.261
104.920000, 83.291
105.170000, 83.321
105.420000, 83.351
105.670000, 83.381
105.920000, 83.410
106.170000, 83.440
106.420000, 83.469
106.670000, 83.498
106.920000, 83.527
107.170000, 83.556
107.420000, 83.585
107.670000, 83.613
107.920000, 83.641
108.170000, 83.669
108.420000, 83.696
108.670000, 83.723
108.920000, 83.750
109.170000, 83.777
109.420000, 83.803
109.670000, 83.829
